Atom,Status,pct
R,Positive Charged Side Chains,0.062493246017852125
H,Positive Charged Side Chains,0.02488707341848754
K,Positive Charged Side Chains,0.048477382264583195
D,Negative Charged Side Chains,0.04593788497698243
E,Negative Charged Side Chains,0.061164062331150446
S,Polar Uncharged Chains,0.07894054334435584
T,Polar Uncharged Chains,0.05926214095830902
N,Polar Uncharged Chains,0.03318636668179559
Q,Polar Uncharged Chains,0.047839806349823856
C,Special Cases,0.02003501264345458
U,Special Cases,0.0
G,Special Cases,0.06976593399468327
P,Special Cases,0.055890553070090124
A,Hydrophobic Side Chains,0.07301865179709957
V,Hydrophobic Side Chains,0.06078583933086948
I,Hydrophobic Side Chains,0.04488966694763232
L,Hydrophobic Side Chains,0.09831636733017787
M,Hydrophobic Side Chains,0.024465624932460177
F,Aromatic,0.03807084657113834
Y,Aromatic,0.03466683956860965
W,Aromatic,0.017906157470444575